id,twitterid,tag,lat,long,tweet,tagnr,id2,region
0,837611056809771000,vvd,52.3731,4.8922, Do you know about Hidden treasures around  I found this so cute! so I shared on the app SALEAPP.� https://t.co/vVdGbAX7Hz,0.0,0,4
1,837655387759333400,d66,52.3042326,4.7491698, @derickr @D66 ik zou zeggen @KeesVee maar wellicht zijn er ook nog andere kandidaten?,100.0,1,3
2,837679530189996000,sp,52.37886324,4.89953724, And another day to (sp)end gigging in #amsterdamSo another building to show  before going for� https://t.co/0zrMfFgwDB,300.0,2,3
3,837742435933503500,d66,52.3836967,4.8721767, Het (oud)-raadsleden diner van #D66Bijpraten en daarna weer campagne! @ M�t Smaak https://t.co/di6ZiS15HM,100.0,3,3
4,837766343520845800,vvd,52.3591188,4.916442, P 1 Reanimatie (13GG02) Kastanjeweg   Oosterpark Amsterdam [ 13VVD ] https://t.co/hmojrQT7xV #p2000,0.0,4,2
5,837768819451945000,cu,52.3731,4.8922, Zo deden we dat. @gertjansegers plakken op  de verkiezingsborden. In Noord en centrum.� https://t.co/C3egh2kRLZ,400.0,5,0
6,837778619586003000,vvd,52.45336378,4.966359099999999, Brugwachters @ProvincieNH : allemaal flex. Bestuur NH: VVD  CDA  D66 en PvdA. #Nieuwsuur,0.0,6,1
7,837780482892906500,pvda,52.45351432,4.96647151, @GrasYvonne nee nu nog Asschertijd :-),600.0,7,0
8,837783778856685600,pvda,52.45324187,4.96660631, @HenkvanBerkum @Nieuwsuur in defensief gedwongen Asscher,600.0,8,1
9,837788604835352600,sgp,52.45351909,4.96648188, @ArjenRonner daar leest Van der Staaij het nieuws,800.0,9,2
10,837853609974980600,pvv,52.3,4.7, And of course we do love ???roses and especially #davidaustin  #roses? @ Haarlemmermeer � https://t.co/gLMpVvEtDf,700.0,10,4
11,837967884664127500,d66,52.34882519,4.87738491, Zaterdag campagnedag!! #stemd66 #? #goedonderwijs @ De Beethovenstraat https://t.co/iOkoEzB6Yv,100.0,11,2
12,838017651662192600,pvda,52.36970843,4.85097976, Election time  11 days before. #pvda #stem #elections #netherlands #march15 @ Mercatorplein https://t.co/03zryRU0Xh,600.0,12,2
13,838019072663175200,pvv,52.3731,4.8922, #wilderswillenwelnee #gewild #wild #willen #waarom #hoedan #dusdat� https://t.co/pZij2RwQwc,700.0,13,0
14,838070154898583600,gl,52.45339717,4.96657261, @JohanLok1 @PietvanMourik @BasEickhout de gemiddelde leeftijd is niet zo'n probleem hoor bij @groenlinks :-),200.0,14,3
15,838114475593039900,gl,52.453432299999996,4.96638768, Vandaag ging GroenLinks praten met de boer op Marken https://t.co/QEWggkB3NY,200.0,15,3
16,838323305748693000,sgp,52.3092179,4.76354161, Sunday workday. #airportlife #schiphol #airport #amsterdam #netherlands #europe #guy #dutch� https://t.co/sGP6TgveS6,800.0,16,1
