city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,Average_Color
london,953708349500475282_526944912,Normal,1427910916,-0.130936167,51.51658,0,0,#6f7c93
london,953785587037429343_184079150,Normal,1427920123,-0.139235554,51.529856861,3,0,#a28279
berlin,953785428296351371_31110782,Normal,1427920104,13.368743,52.492916,5,0,#888b7b
newyork,953820342280965842_1542243250,Normal,1427924267,-74.023938328,40.769005297,0,0,#61705d
tokyo,953877282693234942_51084015,Normal,1427931054,139.7529278,35.651368,0,0,#8c8e92
london,953833976487966299_406364316,Nashville,1427925892,-0.129147167,51.510813333,0,0,#6e6c87
london,953857191127118851_8026372,Normal,1427928659,-0.169073389,51.524009694,0,0,#83888b
london,954156687201996628_10898906,Normal,1427964362,-0.1103195,51.516638333,0,0,#8f908d
newyork,953957310942560057_14726934,Normal,1427940595,-74.04742375,40.717188078,0,0,#928d7f
tokyo,954154867357489856_1472635869,Perpetua,1427964145,139.759534996,35.663293526,0,0,#8d866f
london,954182226798185248_54344865,Normal,1427967407,-0.159672239,51.490901506,14,0,#9d9993
tokyo,954175744986889249_504833886,Ludwig,1427966634,139.783625034,35.695026064,0,0,#7b7066
tokyo,954201750544221255_1360294000,Normal,1427969734,139.730968113,35.666942273,1,0,#756b7a
london,954163726826648392_1547001067,Nashville,1427965201,-0.116572623,51.520740007,0,0,#89957c
seoul,954164788571811082_1146270138,Normal,1427965328,126.958412167,37.535270667,0,0,#946a50
london,954209301663098226_1779410040,Mayfair,1427970634,-0.15675,51.518795,0,0,#907651
london,954244735398582372_104938589,Normal,1427974858,-0.137382848,51.52568158,7,0,#8c8c8c
newyork,954247820608487931_1621645975,Ludwig,1427975226,-74.0332713,40.736912,1,0,#a47e62
berlin,954211887820891030_300565311,Amaro,1427970942,13.330894215,52.532400764,7,0,#8b7167
tokyo,954189136523611837_1091395434,Normal,1427968230,139.734439608,35.670987642,4,0,#6a5854
tokyo,954219342323938651_421465412,Perpetua,1427971831,139.756941667,35.696,1,0,#898d85
