city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
tokyo,953703676911312071_1471599630,Normal,1427910359,139.709164891,35.70354552,0,0,#bc756b,#342421,#f0d0b3,#65493c,#98a8b4
london,953785587037429343_184079150,Normal,1427920123,-0.139235554,51.529856861,3,0,#27373d,#f4eae5,#a8422e,#97a5a7,#d0856a
london,953739976007729980_8545495,Ludwig,1427914686,-0.0987695,51.524025,2,0,#a59276,#342a21,#eee9e8,#6e3b26,#b87532
tokyo,953703129745475064_1802512576,Normal,1427910294,139.728858321,35.729187691,0,0,#cd9d7d,#141f3c,#81a29a,#715a4d,#5486a6
london,953714833866813275_279247490,Lo-fi,1427911689,-0.166566038,51.517448009,0,0,#282f1a,#e5e0db,#a6b681,#8d8c57,#9c7fa8
newyork,953791494896077549_1151016137,Ludwig,1427920828,-74.023802833,40.76492,1,0,#eae5e2,#2f3033,#a3aaba,#7e8caf,#8b807d
london,953705350626883831_244885077,Normal,1427910559,-0.137382848,51.52568158,2,0,#e6e2da,#454644,#958982,#954e49,#876f51
london,953708349500475282_526944912,Normal,1427910916,-0.130936167,51.51658,0,0,#17244e,#cd9f68,#5b7190,#6880b5,#84bce4
newyork,953820342280965842_1542243250,Normal,1427924267,-74.023938328,40.769005297,0,0,#a49b8b,#5f846c,#3c6f58,#5d6041,#4c4444
newyork,953823370049759763_627439617,Ludwig,1427924628,-74.043625741,40.727484075,3,0,#af875e,#1b120e,#f2ece5,#6c3019,#eed1a2
london,953801887333345054_1798181656,Unknown,1427922067,-0.11321378,51.513379538,0,0,#292125,#c8b0a4,#756360,#918c84,#88808c
berlin,953819205649174740_1809082691,Normal,1427924131,13.328128333,52.524363333,4,0,#cbc0a8,#784744,#997869,#896553,#73656b
london,953787949684971086_544575340,Ludwig,1427920405,-0.134005088,51.564809657,0,0,#bd6912,#cfa385,#351c0e,#792b05,#724c37
berlin,953792777254000461_401950948,Normal,1427920981,13.399786667,52.518258333,0,0,#83817b,#fafafa,#313443,#595d3a,#4f4144
berlin,953779522087550077_421150,Normal,1427919400,13.405456362,52.550229197,1,0,#b8a9a2,#372f27,#4f4641,#685f5c,#5d544c
tokyo,953830259466343731_18810164,Normal,1427925449,139.745147433,35.687174751,0,0,#444134,#c7bcb3,#968c82,#97adc2,#abac94
london,953811112394919528_4736954,Willow,1427923166,-0.147010887,51.542116008,0,0,#252426,#c2c0c1,#6c6a6c,#8c8c8c,#88848c
tokyo,953872392032093194_325417048,Sierra,1427930471,139.77461787,35.710479501,0,0,#bcb5b0,#2d222c,#723a38,#70747a,#a85b44
london,953818028115593948_16203169,Normal,1427923991,-0.12576419,51.515908157,62,1,#79424b,#291f24,#cb919e,#c17c7f,#a98780
