city,url,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
paris,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11055925_1418540158451989_154195729_n.jpg,Normal,1428046882,2.33768,48.860191667,4,0,#513b33,#ebdece,#987961,#bf9771,#a586a8
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11098530_1592801317603747_412519454_n.jpg,Valencia,1428050854,-0.101324004,51.5086978,1,0,#c5c9c6,#240f2c,#603d4e,#957650,#726895
moscow,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11117048_1576587432600146_166890215_n.jpg,Ludwig,1428048376,37.625006037,55.774597521,0,0,#e38e37,#170b08,#ae310e,#5c585c,#847c84
tokyo,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/s150x150/e15/10570201_491323324355133_1053254162_n.jpg,Ludwig,1428051025,139.753527508,35.662701393,1,1,#923a1d,#ebc894,#322408,#f06a2a,#b89c8c
moscow,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11101987_965715813453720_561877939_n.jpg,Normal,1428063180,37.640940253,55.743947903,2,0,#635947,#1f1512,#7e8386,#263234,#95902e
newyork,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11116764_423717521130298_153526640_n.jpg,Crema,1428061954,-74.031238596,40.730859627,0,0,#1d171e,#b2a79e,#69625a,#3a48a4,#888cb8
london,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11117079_974200462613916_1247602178_n.jpg,Crema,1428063205,-0.110151472,51.528964435,0,0,#373136,#d5ceb9,#aea191,#8e8376,#9c9c97
tokyo,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/s150x150/e15/11024151_1590496591193220_230567137_n.jpg,Normal,1428061823,139.77362,35.714836667,0,0,#70696d,#d2c9c8,#779cdb,#1f1d25,#adc1d5
moscow,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/s150x150/e15/11055575_401528383350363_895071876_n.jpg,Normal,1428061423,37.598665808,55.781828453,2,0,#5c483d,#edf8f8,#cdaa88,#8c8584,#b1aeac
paris,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/s150x150/e15/10561019_413610082155273_1968277192_n.jpg,Ludwig,1428062849,2.32548,48.874816667,0,0,#815039,#1b0e0a,#f0d6c2,#db8348,#c4aea0
