id,tweet,lat,long,party,region,cluster
"8,39E+22",File op A2 Stilstaand verkeer #A2 #A2_JNK #file #fileleed #verkeer https://t.co/RMXCi0W3qW,5.170.809,534.599,1,2,5.00E+00
"8,39E+21",I'm at Flugel Nederland in Capelle ad IJssel ZH https://t.co/AkeIx5sVc1,5.196.349.614,4.585.446,2,2,1.00E+01
"8,39E+21",#Egaylity - GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/0DVfnvvggY,5.237.722.611,489.824.219,3,4,9.00E+00
"8,39E+21",#Egaylity - Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/oQ4tPmvcHP,5.237.722.611,489.824.219,4,4,1.00E+01
"8,39E+21",NL | Terug diepere genderkloof vrouwenrechten onder druk - Als gelijkheid op dergelijke manier terug… https://t.co/Mv3MCcwBFC,5.239.398.971,488.725.586,5,4,7.00E+00
"8,39E+21",NL | Het effect van armoede op de ontwikkeling van de hersenen - Tegen hoeveel factoren moeten mensen in armoede… https://t.co/IU0R6jnMBD,5.239.398.971,488.725.586,6,7,9.00E+00
"8,39E+21",NL | Homo moslim en boze burger Abdellah Taïa strijdt tegen de clichés - Abdellah Taïa is een Marokkaanse… https://t.co/1CGgBTEa4t,5.239.398.971,488.725.586,7,7,1.00E+01
"8,39E+21",#Egaylity - GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/KVmk6O03aO,5.244.168.021,490.868.926,8,2,3.00E+00
"8,39E+21",#Egaylity - Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/gkgZ3sOC2g,5.244.168.021,490.868.926,9,2,3.00E+00
"8,39E+21",#Egaylity - GGZ Nederland: Zorg bezwijkt onder regeldruk - Vinkjes zetten totdat je arm pijn doet: de regeldruk in… https://t.co/6oQ3HOuawZ,5.237.722.611,489.824.219,10,11,1.00E+01
"8,39E+21",#Egaylity - Hoeveel eiwitten heb je dagelijks nodig? - Eiwitten zijn samengesteld uit bouwstenen. Die worden… https://t.co/sl6srnNBfQ,5.237.722.611,489.824.219,1,12,8.00E+00
"8,39E+22",File op A12 Stilstaand verkeer #A12 #A12_BGI #file #fileleed #verkeer https://t.co/7chFZriNOI,5.207.476,501.888,2,13,4.00E+00
"8,39E+22",B1 13407 Rit 28108 Amsterdam Oosterpark 1091AC 9 OLVGO rontgen https://t.co/JlZ6saGnT5 #p2000,523.591.188,4.916.442,3,11,1.00E+00
"8,39E+22",#Overig Consultant SAP PPM - Voor de UVA zijn wij op zoek naar een Consultant SAP PPM. Omschrijving opdracht/werk... https://t.co/2KwuCtiHUi,5.237.403,488.969,4,15,1.00E+00
"8,39E+22",Onze Chocolatiers zijn druk bezig met de voorbereidingen voor de Pasen! Wilt u ze aan het werk… https://t.co/HFqvpqGEUF,521.295,5.2061,5,16,1.00E+00
"8,39E+22",Raden welke huisgenoot vorige maand op de website van de Televaag stond. @ De Telegraaf https://t.co/jdF0En0AzH,5.239.233,483.291,6,13,6.00E+00
"8,39E+22",P 1 Brand Woning Amazonenstraat 59 2 Amsterdam [ 13ALD 13GG06 13ASD 13ASW ] https://t.co/0m19dbthiU #p2000,52.344.954,48.604.475,7,18,1.50E+01
"8,39E+22",#Overig Projectleider informatievoorziening - Rowica is voor een klant van haar de gemeente Amsterdam op zoek n... https://t.co/cdsejwUBRK,5.237.403,488.969,8,19,6.00E+00
"8,39E+22",#ICDirect 939 (V 16:07 van Amsterdam Airport) naar Amsterdam Centraal is nu 15 minuten vertraagd. Geld terug? Zie https://t.co/wQfqoWMoGC,5.230.944.443,476.194.429,9,13,1.10E+01
"8,39E+22",#ElMejorPaisDelMundo 🇳🇱 @ Amsterdam Netherlands https://t.co/Q1XyfZfP4S,523.731,4.8922,2,16,1.40E+01
"8,39E+22",P 1 Brandgerucht Pakingehof 1 Amsterdam [ 13GG08 13AST ] https://t.co/POZaz4CZJV #p2000,523.580.538,47.906.777,3,1,3.00E+00
"8,39E+22",I'm at Station Amsterdam Zuid in Amsterdam Noord-Holland https://t.co/FDiF00UcLO,5.233.899.357,487.333.872,4,14,1.00E+00
"8,39E+22",File op A15 Stilstaand verkeer #A15 #A15_HEN #file #fileleed #verkeer https://t.co/edFbjNbdQm,5.185.742,464.794,5,12,6.00E+00
"8,39E+22",File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_NAA #file #fileleed #verkeer https://t.co/3yjqtUci4e,5.226.783,520.256,6,2,3.00E+00
"8,39E+22",AMSTERDAM: Ivm overval Jan v Galenstraat op zoek naar man donkere jas blauwgroene trainingsbroek en blauwgrijz https://t.co/hBBO0KYJEO,5.237.496.934,486.188.518,2,11,4.00E+00
"8,39E+22",Amsterdam - Ivm overval Jan v Galenstraat op zoek naar man donkere jas blauwgroene trainingsbroek en blauwgrijze...https://t.co/HK0rZ3TAfb,5.237.496.934,486.188.518,3,14,4.00E+00
"8,39E+22",File op A27 Langzaam rijdend tot stilstaand verkeer #A27 #A27_HIL #file #fileleed #verkeer https://t.co/JcdoVs15YB,5.219.008,518.553,4,12,1.00E+00
"8,39E+22",File op A1 Langzaam rijdend tot stilstaand verkeer #A1 #A1_QJZ #file #fileleed #verkeer https://t.co/4mr69YZjbB,5.228.271,518.378,5,18,1.00E+00
"8,39E+22",De #julianabrug in #zaandam #zaandijk is weer dicht. Zie https://t.co/zCqSr3mrjr #brugopen,52.471.471,4.813.427,8,11,9.00E+00
"8,39E+22",File op A12 Stilstaand verkeer #A12 #A12_MMN #file #fileleed #verkeer https://t.co/cplw2Pmapa,5.205.892,515.765,10,13,9.00E+00
"8,39E+22",#AMSTERDAM #AML | Prio: 1 Overval Jan van Galenstraat 1056BJ Amsterdam | https://t.co/jXw9jZFcbv,52.375.167,4.863.528,5,7,9.00E+00
"8,39E+21",File op N35 Stilstaand verkeer #N35 #N35_HEI #file #fileleed #verkeer https://t.co/FilbYSKlUn,5.242.095,624.612,6,19,1.00E+00
"8,39E+22",Nu ook voor je ontbijtje op IJ'tje. Milde bio yoghurt granola banaan en aardbei. Zien we je… https://t.co/dfhg8zLn5F,5.235.185.974,500.179.053,4,0,1.30E+01
"8,39E+22",File op A4 Stilstaand verkeer #A4 #A4_RRD #file #fileleed #verkeer https://t.co/ZbstLu7SUd,522.427,4.6613,5,11,6.00E+00
"8,39E+22",P 1 Brand Industrie (Zeer Grote Brand) (13GG02) Schaafstraat 23 Amsterdam [ 13ALW ] https://t.co/17nhVEIUuq #p2000,523.854.996,49.236.307,4,4,1.00E+01
"8,39E+22",#AMSTERDAM Opschaling | P 1 Brand Industrie (Zeer Grote Brand) (13GG02) Schaafstraat __ Amsterdam [ 13ALW ] | https://t.co/zGMHjaCBzI,523.854.667,49.238.407,5,0,1.30E+01
"8,39E+22",File op A50 Stilstaand verkeer #A50 #A50_PIH #file #fileleed #verkeer https://t.co/DgksNk94AB,5.187.142,572.729,7,16,6.00E+00
"8,39E+22",A1 13114 Rit 28127 Amsterdam Hoofdweg 1057CZ 307 H https://t.co/ErLSM3CbR6 #p2000,523.686.432,48.517.315,10,11,1.00E+01
"8,39E+22",#alarm Prio: 1 Overval Jan van Galenstraat 1056BJ Amsterdam - Jan van Galenstraat 215 1056 Amsterdam Netherlands,52.373.429,48.532.554,6,13,6.00E+00
