id,party,geo1,geo2,region,label,postcode
1,vvd,52.3731,4.8922,2,2.00E+00,1012
2,d66,52.3042326,4.7491698,1,0.00E+00,NA
3,sp,52.37886324,4.89953724,4,2.00E+00,1012
4,d66,52.3836967,4.8721767,0,0.00E+00,1051
5,vvd,52.3591188,4.916442,6,2.00E+00,1091
6,cu,52.3731,4.8922,6,3.00E+00,1012
7,vvd,52.45336378,4.9663591,6,2.00E+00,NA
8,pvda,52.45336378,4.9663591,6,1.00E+00,NA
9,cda,52.45336378,4.9663591,6,3.00E+00,NA
10,d66,52.45336378,4.9663591,6,1.00E+00,NA
11,pvda,52.45351432,4.96647151,6,1.00E+00,NA
12,pvda,52.45324187,4.96660631,1,0.00E+00,NA
13,sgp,52.45351909,4.96648188,1,6.00E+00,NA
14,pvv,52.3,4.7,1,6.00E+00,NA
15,d66,52.34882519,4.87738491,0,0.00E+00,1077
16,pvda,52.36970843,4.85097976,6,1.00E+00,1057
17,pvv,52.3731,4.8922,6,1.00E+00,1012
18,gl,52.45339717,4.96657261,1,0.00E+00,NA
19,gl,52.4534323,4.96638768,1,0.00E+00,NA
20,sgp,52.3092179,4.76354161,1,6.00E+00,NA
21,sgp,52.318571,4.843613,2,1.00E+00,NA
22,sgp,52.34271368,4.88914619,1,6.00E+00,1078
23,pvda,52.36240836,4.9038221,6,1.00E+00,1017
24,sp,52.3612998,4.8767679,6,2.00E+00,1071
25,gl,52.45352427,4.96655762,1,0.00E+00,NA
26,50p,52.4535242,4.96649392,6,3.00E+00,NA
27,pvda,52.38267,4.87083,1,0.00E+00,1051
28,50p,52.32220343,4.95691674,0,0.00E+00,1102
29,gl,52.26062288,4.64813654,1,0.00E+00,NA
30,vvd,52.3731,4.8922,1,2.00E+00,1012
31,sp,52.3617584,4.8781814,6,2.00E+00,1071
32,50p,52.3420837,4.8384711,2,0.00E+00,1062
33,gl,52.45347333,4.96677107,4,3.00E+00,NA
34,gl,52.3632789,4.9000349,4,3.00E+00,1017
35,sp,52.362222,4.91266366,6,2.00E+00,1091
36,gl,52.4543788,5.03727109,6,1.00E+00,NA
37,gl,52.45352653,4.96655616,0,0.00E+00,NA
38,cda,52.45353402,4.96656488,6,3.00E+00,NA
39,sgp,52.3731,4.8922,2,1.00E+00,1012
40,gl,52.31235718,4.94404142,1,0.00E+00,1101
41,cu,52.41582261,4.89990234,2,0.00E+00,1035
42,cda,52.30148314,4.63170179,4,6.00E+00,NA
43,cu,52.37722611,4.89824219,2,0.00E+00,1012
44,cu,52.44168021,4.90868926,1,0.00E+00,NA
45,cu,52.37722611,4.89824219,6,3.00E+00,1012
46,cu,52.39398971,4.88725586,6,3.00E+00,1013
47,gl,52.31232,4.9442199,6,1.00E+00,1101
48,gl,52.31232,4.9442199,1,0.00E+00,1101
49,gl,52.31235718,4.94404142,4,3.00E+00,1101
50,cda,52.207715,4.861057,1,0.00E+00,NA
51,cda,52.37733,4.91732,1,0.00E+00,1019
52,vvd,52.4380655,4.8292739,1,2.00E+00,NA
53,cda,52.4380655,4.8292739,1,0.00E+00,NA
54,d66,52.4380655,4.8292739,6,1.00E+00,NA
55,vvd,52.3349075,4.8731634,4,2.00E+00,1082
56,gl,52.45346863,4.96655616,4,3.00E+00,NA
57,gl,52.3324135,4.9136925,4,3.00E+00,1096
58,d66,52.3324135,4.9136925,2,6.00E+00,1096
59,gl,52.3324135,4.9136925,2,6.00E+00,1096
60,gl,52.36597257,4.89661693,1,0.00E+00,1017
61,gl,52.36597257,4.89661693,1,0.00E+00,1017
62,cu,52.36792726,4.85509803,1,0.00E+00,1057
63,cu,52.36792726,4.85509803,1,0.00E+00,1057
64,d66,52.36666667,4.88333333,1,0.00E+00,1017
65,cu,52.39398971,4.88725586,1,0.00E+00,1013
66,d66,52.357611,4.881619,0,0.00E+00,1071
67,sp,52.3612998,4.8767679,1,1.00E+00,1071
68,sgp,52.3731,4.8922,6,2.00E+00,1012
69,sgp,52.3395753,4.8732716,1,6.00E+00,1077
70,cu,52.31373012,4.95127529,2,0.00E+00,1102
71,vvd,52.3445294,4.7837182,1,2.00E+00,NA
72,cu,52.37387263,4.90373535,1,0.00E+00,1011
73,d66,52.310833,4.8325,6,1.00E+00,NA
74,sgp,52.3092179,4.76354161,6,2.00E+00,NA
75,vvd,52.4532144,4.96625928,6,2.00E+00,NA
76,pvv,52.4532144,4.96625928,1,6.00E+00,NA
77,gl,52.45329324,4.96621636,6,1.00E+00,NA
78,pvv,52.34123,4.88991,0,0.00E+00,1078
79,cda,52.45302702,4.96589839,0,0.00E+00,NA
80,gl,52.3731,4.8932,0,0.00E+00,1012
81,sgp,52.3731,4.8922,0,0.00E+00,1012
82,pvda,52.3731,4.8932,0,0.00E+00,1012
83,pvda,52.3731,4.8932,0,0.00E+00,1012
84,pvda,52.3731,4.8932,0,0.00E+00,1012
85,pvda,52.3731,4.8932,0,0.00E+00,1012
86,pvda,52.3731,4.8932,0,0.00E+00,1012
87,pvda,52.3731,4.8932,0,0.00E+00,1012
88,pvda,52.3731,4.8932,0,0.00E+00,1012
89,pvda,52.3731,4.8932,0,0.00E+00,1012
90,pvda,52.3731,4.8932,0,0.00E+00,1012
91,pvda,52.3731,4.8932,0,0.00E+00,1012
92,pvda,52.3731,4.8932,0,0.00E+00,1012
93,pvda,52.3731,4.8932,0,0.00E+00,1012
94,pvda,52.3731,4.8932,0,0.00E+00,1012
95,pvda,52.3731,4.8932,0,0.00E+00,1012
96,pvda,52.3731,4.8932,0,0.00E+00,1012
97,pvda,52.3731,4.8932,0,0.00E+00,1012
98,pvda,52.3731,4.8932,0,0.00E+00,1012
99,pvda,52.3731,4.8932,0,0.00E+00,1012
100,pvda,52.3731,4.8932,0,0.00E+00,1012
101,pvda,52.3731,4.8932,0,0.00E+00,1012
102,pvda,52.3731,4.8932,0,0.00E+00,1012
103,pvda,52.3731,4.8932,0,0.00E+00,1012
104,pvda,52.3731,4.8932,0,0.00E+00,1012
105,gl,52.3731,4.8932,0,0.00E+00,1012
106,pvda,52.3731,4.8932,0,0.00E+00,1012
107,pvda,52.3731,4.8932,0,0.00E+00,1012
108,pvda,52.3731,4.8932,0,0.00E+00,1012
109,gl,52.3731,4.8932,0,0.00E+00,1012
110,pvda,52.3731,4.8932,0,0.00E+00,1012
111,pvda,52.3731,4.8932,0,0.00E+00,1012
112,gl,52.3731,4.8932,0,0.00E+00,1012
113,gl,52.3731,4.8932,0,0.00E+00,1012
114,pvda,52.3731,4.8932,0,0.00E+00,1012
115,pvda,52.3731,4.8932,0,0.00E+00,1012
116,pvda,52.3731,4.8932,0,0.00E+00,1012
117,pvda,52.3731,4.8932,0,0.00E+00,1012
118,pvda,52.3731,4.8932,0,0.00E+00,1012
119,pvda,52.3731,4.8932,0,0.00E+00,1012
120,pvda,52.3731,4.8932,0,0.00E+00,1012
121,cda,52.3731,4.8932,0,0.00E+00,1012
122,vvd,52.3731,4.8932,0,0.00E+00,1012
123,pvv,52.3731,4.8932,0,0.00E+00,1012
124,vvd,52.3731,4.8932,0,0.00E+00,1012
125,gl,52.3731,4.8932,0,0.00E+00,1012
126,gl,52.3731,4.8932,2,6.00E+00,1012
127,gl,52.3731,4.8932,2,6.00E+00,1012
128,pvda,52.36171324,4.90066954,0,0.00E+00,1017
129,cda,52.38421,4.90288,0,0.00E+00,1031
130,pvda,52.3731,4.8932,0,0.00E+00,1012
131,pvda,52.3731,4.8932,0,0.00E+00,1012
132,pvda,52.3731,4.8932,0,0.00E+00,1012
133,pvda,52.3731,4.8932,0,0.00E+00,1012
134,pvda,52.3731,4.8932,0,0.00E+00,1012
135,pvda,52.3731,4.8932,0,0.00E+00,1012
136,pvda,52.3731,4.8932,0,0.00E+00,1012
137,pvda,52.3731,4.8932,0,0.00E+00,1012
138,pvda,52.3731,4.8932,0,0.00E+00,1012
139,pvda,52.3731,4.8932,0,0.00E+00,1012
140,pvda,52.3731,4.8932,0,0.00E+00,1012
141,pvda,52.3731,4.8932,0,0.00E+00,1012
142,pvda,52.3731,4.8932,0,0.00E+00,1012
143,pvda,52.3731,4.8932,0,0.00E+00,1012
144,pvda,52.3731,4.8932,0,0.00E+00,1012
145,d66,52.3731,4.8922,1,0.00E+00,1012
146,pvv,52.3731,4.8922,1,6.00E+00,1012
147,d66,52.36993215,4.89030348,4,3.00E+00,1012
148,vvd,52.3731,4.8932,4,2.00E+00,1012
149,vvd,52.3731,4.8932,4,2.00E+00,1012
150,vvd,52.3731,4.8932,4,2.00E+00,1012
151,vvd,52.3731,4.8932,4,2.00E+00,1012
152,vvd,52.3731,4.8932,4,2.00E+00,1012
153,vvd,52.3731,4.8932,4,2.00E+00,1012
154,vvd,52.3731,4.8932,4,2.00E+00,1012
155,vvd,52.3731,4.8932,4,2.00E+00,1012
156,vvd,52.3731,4.8932,4,2.00E+00,1012
157,vvd,52.3731,4.8932,4,2.00E+00,1012
158,vvd,52.3731,4.8932,4,2.00E+00,1012
159,vvd,52.3731,4.8932,4,2.00E+00,1012
160,vvd,52.3731,4.8932,4,2.00E+00,1012
161,vvd,52.3731,4.8932,4,2.00E+00,1012
162,pvv,52.3731,4.8932,6,1.00E+00,1012
163,pvv,52.3731,4.8932,2,3.00E+00,1012
164,vvd,52.45358074,4.96708342,6,2.00E+00,NA
165,cda,52.37807,4.90118,6,3.00E+00,1012
166,gl,52.45341285,4.96658214,6,1.00E+00,NA
167,cda,52.3731,4.8932,6,3.00E+00,1012
168,cda,52.3731,4.8932,6,3.00E+00,1012
169,cda,52.3731,4.8932,6,3.00E+00,1012
170,cda,52.3731,4.8932,6,3.00E+00,1012
171,cda,52.3731,4.8932,6,3.00E+00,1012
172,cda,52.3731,4.8932,0,0.00E+00,1012
173,cda,52.3731,4.8932,1,0.00E+00,1012
174,cda,52.3731,4.8922,1,0.00E+00,1012
