839989179140472800, #alarm Prio: 1 Vechtpartij Overtoom 1054HC Amsterdam - Overtoom 275-283, 1054 HW Amsterdam, Netherlands, 52.3605917, 4.8671397, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1489104001208, , , 
839991256138862600, Break🍺 @ Hans Brinker Hostel Amsterdam https://t.co/oG7DxAfeLU, 52.36368, 4.88805, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 239513479, nl, 1489104496403, , , 
839992317205467100, Prio: 1 Vechtpartij Kloveniersburgwal Amsterdam https://t.co/j2xas7ySi5 #p2000, 52.3717013, 4.8996819, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489104749381, , , 
839992320342782000, A1 13107 Rit 29098 Amsterdam Joan Muyskenweg 1096CJ 10 Hotel Mercure https://t.co/aW1MFYkTOx #p2000, 52.3352919, 4.913147, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489104750129, , , 
839994727516782600, B1 13177 Rit 29100 Amsterdam De Boelelaan 1081HV 1117 VU 5D ccu https://t.co/P86ssTlv4a #p2000, 52.3349075, 4.8731634, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489105324044, , , 
839995893076131800, B1 13120 Rit 29101 Amsterdam Sint Antoniesbreestraat 1011HB 130 th https://t.co/2wv73J73Z3 #p2000, 52.3711266, 4.9005414, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489105601935, , , 
839996751327166500, #alarm Prio: 1 Vechtpartij Kloveniersburgwal Amsterdam - Kloveniersburgwal 13, 1011 JT Amsterdam, Netherlands, 52.37180408, 4.89999275, <a href="http://www.copspotter.nl" rel="nofollow">Cop Spotter</a>, 224671737, nl, 1489105806558, , , 
839999024413450200, Het filmen, monteren en verhaal gaat steeds beter 💛 @ Zipper Amsterdam https://t.co/2e5KQtTztC, 52.3686653, 4.8859901, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 37187599, nl, 1489106348504, , , 
840000576524046300, #tbt  #Amsterdam @ Amsterdam, Netherlands https://t.co/CjZ6izieev, 52.3731, 4.8922, <a href="http://instagram.com" rel="nofollow">Instagram</a>, 114078739, nl, 1489106718556, , , 
840005838735593500, A1 13107 Rit 29104 Amsterdam Kerkstraat 1017GM 52 https://t.co/18SA54y8J5 #p2000, 52.3654558, 4.8853038, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489107973165, , , 
840006489507000300, Werk werk werk werk werk (@ level 21 menara maybank) https://t.co/BhhkPUWJ7t, 3.14767109, 101.69988823, <a href="http://foursquare.com" rel="nofollow">Foursquare</a>, 147090164, nl, 1489108128321, , , 
840006492690481200, A2 13104 Rit 29106 Amsterdam Joan Muyskenweg 1096CJ 10 Hotel Mercure https://t.co/HwdXFFV5ZL #p2000, 52.3352919, 4.913147, <a href="http://watiserloos.in/" rel="nofollow">watiserloos.in</a>, 51239975, nl, 1489108129080, , , 
